date;open;high;low;close;volume
2020-06-15;49555.88;49555.88;48881.66;48991.89;109732328
2020-06-16;49646.66;50647.66;49646.66;50385.49;95449265
2020-06-17;50756.53;50756.79;50065.23;50312.8;75752185
2020-06-18;50362.57;50656.94;50204.13;50445.13;103570476
2020-06-19;50501.03;50676.93;50458.76;50670.08;118188907
2020-06-22;50642.94;50815.34;50300.67;50606.02;87416733
2020-06-23;50942.9;51863.82;50841.55;51438.3;102495651
2020-06-24;51616.42;51694.81;50478.37;50479.64;84756272
2020-06-25;50346.03;50767.04;49870.68;50658.89;69576460
2020-06-26;50783.4;50806.32;49725.89;49725.89;57403107
2020-06-29;49593.24;49972.31;49536.58;49972.05;78492799
2020-06-30;50157.78;50167.33;49485.53;49569.17;86804296
2020-07-01;49822.43;50137.51;49248.33;50104.2;55672407
2020-07-02;50345.25;51062.22;50297.92;50937.18;62064339
2020-07-03;51096.81;51130.2;50792.84;50959.44;37857969
2020-07-06;51509.88;51727.42;51235.45;51480.18;52737288
2020-07-07;51421.16;51422.65;50923;50973.66;51384568
2020-07-08;50850.59;50892.99;50540.98;50726.22;50401702
2020-07-09;50930.01;51051.44;50813.47;50844.47;54340522
2020-07-10;50499.24;50934.9;50334.91;50933.53;44477575
2020-07-13;51381.34;51421.63;51104.5;51168.14;57094952
2020-07-14;50931.58;50932.97;50303.79;50443.27;70822448
2020-07-15;50822.16;51063.02;50680.05;51008.62;66550687
2020-07-16;50898.32;51121.23;50773.63;51121.23;63047255
2020-07-17;51186.23;51186.59;50858.03;51046.47;60633073
2020-07-20;51018.23;52170.68;50954.06;52170.68;95379772
2020-07-21;52502.1;53332.13;52413.2;52537.11;129431793
2020-07-22;52565.85;52589.93;52145.34;52145.96;65657495
2020-07-23;52435.82;52435.82;51873.52;51890.42;66738334
2020-07-24;51314.57;51672.44;51114.47;51672.44;54528437
2020-07-27;51785.78;52235.5;51595.76;52215.51;67394524
2020-07-28;52215.77;52473.45;51796.17;52159.95;87066597
2020-07-29;52021.23;52154.53;51596.81;52045.58;81739638
2020-07-30;51976.96;52036.29;50024.6;50024.63;108343382
2020-07-31;50173.61;50945.41;50167.24;50468.16;73599118
2020-08-03;50659.32;51727.31;50637.27;51534.26;56029017
2020-08-04;51843.2;52186.49;51469.83;51690.75;58820579
2020-08-05;51981.39;52433.48;51981.39;52289.67;56759698
2020-08-06;52421.19;52540.24;51675.8;51816.87;50530772
2020-08-07;51778.16;51819.9;51419.26;51732.44;59036934
2020-08-10;51894.82;52087.1;51731.15;51934.45;36369210
2020-08-11;52055.51;52721.16;52032.45;52420.67;57596649
2020-08-12;52328.26;52517.36;52170.03;52487.84;50196828
2020-08-13;52596.37;53158.36;52565.91;52706.25;45577967
2020-08-14;52690.22;52691.46;52310.21;52631.64;33664495
2020-08-17;52748.52;52889;52447.48;52889;36967280
2020-08-18;52739.28;52799.91;52423.49;52490.77;63771983
2020-08-19;52519.31;52639.47;52224.8;52262.21;56817557
2020-08-20;51940.02;52029.57;51757.96;51842.65;44480382
2020-08-21;52182.38;52182.38;51725.81;51920.09;45537079
2020-08-24;52274.62;52472.01;52109.07;52424.18;39092811
2020-08-25;52696.42;52825.06;51959.33;51963.74;45574932
2020-08-26;51927.82;52518.38;51843.1;52518.38;42298608
2020-08-27;52449.62;52653.08;52270.75;52528.67;37241150
2020-08-28;52527.8;52687.05;52193.14;52237.26;36491914
2020-08-31;52352.04;52437.56;51479.2;51629.45;56416045
