,feature,buy strategy weight,sell strategy weight
0,volume_adi,2063.8554372370772,8755.170725198237
1,volume_obv,-10607.211760964632,147.51774463996514
2,volume_cmf,-11414.661499834792,-10129.843463531244
3,volume_fi,-8709.601990843059,-3569.531638305594
4,volume_em,-13596.213000010795,-10865.712274753763
5,volume_sma_em,12729.056577524725,-23019.480615518583
6,volume_vpt,5234.506254326917,-4449.1414752999635
7,volume_vwap,-14506.085492409518,26865.3041855732
8,volume_mfi,5579.129931433563,4479.254277487313
9,volume_nvi,2627.4462357540533,-5823.477798442555
10,volatility_bbm,-28950.235549307497,-1642.4133963992315
11,volatility_bbh,-3153.311142370852,3595.6972249990104
12,volatility_bbl,-6977.598641566263,-15512.04283540617
13,volatility_bbw,-2359.470635759976,-8761.368271576155
14,volatility_bbp,-9422.198565292038,4942.902576547317
15,volatility_bbhi,-15376.681950596432,-8245.2635004801
16,volatility_bbli,35331.385395607416,-14178.74736429805
17,volatility_kcc,9586.802509858577,10160.283485668631
18,volatility_kcw,-7608.74339157138,1114.7139064273654
19,volatility_kcp,-21239.44362735312,-5293.920318561509
20,volatility_kchi,2907.004303382627,3522.0018617117566
21,volatility_kcli,-8697.23045649267,-16059.468299996835
22,volatility_dcl,22259.36751907299,3425.0746257438445
23,volatility_dch,343.909125088717,17488.740631599037
24,volatility_dcm,-3379.569896511227,14983.105536057044
25,volatility_dcw,13403.427751920663,-1476.6018141019483
26,volatility_dcp,16801.142982197845,20154.969493481618
27,volatility_atr,-29008.250506172222,-1261.9888891589083
28,volatility_ui,-3233.135376792822,-16034.383232919608
29,trend_macd,9611.903655501052,-11525.83929827413
30,trend_macd_signal,-4006.1185504272216,5522.572614135762
31,trend_macd_diff,-17483.240426960896,-7354.273887599814
32,trend_sma_slow,-17253.334150464143,18932.261477315984
33,trend_ema_slow,6940.240052823566,-4426.42128145756
34,trend_vortex_ind_pos,3173.918705060815,-16112.067914888488
35,trend_vortex_ind_neg,-18966.610612396675,-18975.07753919173
36,trend_vortex_ind_diff,10418.79075590574,-7636.198408870927
37,trend_trix,-8172.453224084725,13344.406109944277
38,trend_mass_index,22955.35924211433,-6465.867063557638
39,trend_dpo,-14574.961392014931,-19563.67650320759
40,trend_kst,524.8219753754495,-2535.3611090527547
41,trend_kst_sig,-15527.451153885248,-6580.559091711842
42,trend_kst_diff,4988.217377644628,-10334.966634155973
43,trend_ichimoku_base,-2097.232588437294,20571.657113653157
44,trend_ichimoku_a,11280.109762451148,3664.5904409265563
45,trend_ichimoku_b,-7668.501879187926,16341.901434034136
46,trend_stc,-994.5368283658811,-4764.55775071653
47,trend_adx,4590.877027545831,15558.56052895284
48,trend_adx_pos,-11629.34044625024,-13505.050691682125
49,trend_adx_neg,5255.7315003599215,-30999.489746933268
50,trend_cci,-15043.34311939716,-14671.447084955624
51,trend_visual_ichimoku_a,2393.4183714403357,-12838.769207173807
52,trend_visual_ichimoku_b,4640.672950380671,-845.8747921919389
53,trend_aroon_up,-26666.90442828508,-13193.893843104364
54,trend_aroon_down,7900.916996240977,-13628.459291329174
55,trend_aroon_ind,-3258.037523583863,1270.3987732062758
56,trend_psar_up_indicator,-16710.088201171246,6202.146103378585
57,trend_psar_down_indicator,17275.696643222545,-8187.570379866239
58,momentum_rsi,-4754.482007635127,-15115.388336891929
59,momentum_stoch_rsi,-17203.333038665554,-22107.610756109403
60,momentum_stoch_rsi_k,15012.242796166314,-4076.2349016295293
61,momentum_stoch_rsi_d,11046.108158665193,-6737.6103398434525
62,momentum_tsi,9937.259789803302,3857.369386775431
63,momentum_uo,658.6655984120325,-10649.968437021236
64,momentum_stoch,-17948.16108631703,16816.398697234814
65,momentum_stoch_signal,16894.034682255457,6124.234047993506
66,momentum_ao,-11287.73806844985,1928.9378211116496
67,momentum_roc,-23737.798764793668,2251.806624785569
68,momentum_ppo,5149.4772530795135,5952.862217016673
69,momentum_ppo_signal,4322.860650853752,8225.241389699659
70,momentum_ppo_hist,-3650.7189997759456,-1351.1672778280767
71,momentum_pvo,4099.3866960437135,-4789.225360350949
72,momentum_pvo_signal,3361.6110025712183,5389.091550757104
73,momentum_pvo_hist,3343.8168359874626,-132.31144268112007
74,momentum_kama,12671.880756894856,121.71160948794324
75,others_dr,-21245.413145692062,-404.26523809560774
76,others_cr,1846.8150456134526,6441.526443865323
