gen,nevals,restart,sigma,avg,std,min,max
0,50,60,955.7888887836823,473.5889010386555,442.4038046983441,0.7372356956418743,1157.1812198846815
1,50,60,922.8484204867968,789.7329746915332,363.05961779114654,3.796016278563779,1567.5352795077229
2,50,60,894.6650047847213,953.588900092352,266.71069943516727,3.91261948219322,1411.4694662644188
3,50,60,877.6968251794722,979.4906209517716,340.2677654599768,91.26029790018057,1883.504618706921
4,50,60,865.0687669335425,997.4813497275719,359.22242747548495,25.895341268933958,2039.576042686652
5,50,60,859.4007146402988,1096.0163179630683,346.53347911804445,142.94007410146742,2031.4904352538574
6,50,60,862.0782207030264,1242.5829672992008,386.3828836276036,374.6212478710803,2137.939106695949
7,50,60,863.6481367928816,1352.0376726590648,412.91852034190794,762.4412846436039,2663.2498542408257
8,50,60,865.0896880005496,1442.1167139048976,412.2855108565836,875.5701600288561,2241.1627562177646
9,50,60,872.6113410880887,1630.4293477610104,518.7238218159432,1000.0,3087.075717712322
10,50,60,877.771248806568,1701.545964087847,621.5409940323063,1000.0,3295.1145094171598
11,50,60,886.3507994714382,1767.8559732314523,586.9474984606028,600.6569094201953,3277.556434398778
12,50,60,896.8993171473643,1780.3386107191773,584.8572644572082,637.7067327257178,3153.416710035301
13,50,60,911.3130876066307,1758.6242160958107,655.4999545584708,978.1024424477749,3308.903059460636
14,50,60,924.4939428809884,1757.0757479577383,550.1941923482321,1000.0,3014.305231292626
15,50,60,936.2844681634408,1902.443999629649,564.4718084018618,927.1029122529156,2820.1906677731563
16,50,60,948.5699428139404,1886.653193965255,595.2725454648959,607.0608143433843,3241.1153475897113
17,50,60,960.0804454861002,1975.1475767438778,704.5267749461847,707.4974492562756,3790.752034990217
18,50,60,973.3954439974365,2043.159265972492,660.4640663018514,1000.0,3920.371974493289
19,50,60,988.5149104717009,2010.5080613232449,724.1030735543596,1000.0,3751.103497232247
20,50,60,1001.8917492303746,2008.6083688444296,762.870429614393,573.1653591458354,4149.667496819978
21,50,60,1016.036888231891,2113.8185373318697,859.3649647392124,429.45375756143227,3828.572899459415
22,50,60,1029.384799530124,1938.1353737485003,811.6640068236319,917.1370368661521,3958.5050504136907
23,50,60,1048.541046189223,2170.4356766177225,882.5706691486492,818.7190830257309,4143.767166657718
