gen,nevals,restart,sigma,avg,std,min,max
0,150,0,9379.318307548501,1080.1971739800344,186.21592784687147,643.7536487988475,1886.8344044032917
1,150,0,9090.20671493833,1155.791876202144,219.18950857042483,680.8517156746298,1789.6509526745747
2,150,0,9099.237646817912,1244.7560640557886,251.89736913312728,774.5694190931471,2094.828240760829
3,150,0,9112.3761912895,1250.1321015757508,268.1954155360828,651.0864658895676,2133.0576550228875
4,150,0,9316.478523083293,1291.5416368937524,263.22178836779864,825.1507076897411,2010.328359193904
5,150,0,9491.142087990918,1373.2710125104823,283.01211015412275,861.9819355981275,2020.9214666707212
6,150,0,9763.17867998197,1358.4861067595605,292.07872389382,786.6158414627214,2424.418622354357
7,150,0,10071.753134116156,1401.0683003960505,278.3941614851345,788.9258799745957,2088.3272946178095
8,150,0,10407.06738551807,1495.5066529261483,285.64750917515516,814.2068521381913,2195.1422668830714
9,150,0,10691.583725538803,1457.712694532053,320.6879105531953,761.1949824142705,2265.376330406231
10,150,0,10899.01750447714,1524.074118410405,302.0072809980775,951.8270049848377,2408.3363614934806
11,150,0,11058.65082447633,1509.0971858951577,309.27686471406,1000.0,2289.4639816567237
12,150,0,11132.011918484288,1480.0908164487173,319.9621101777437,791.5813760346276,2211.5355001206985
13,150,0,11128.538971183,1502.6059507551054,343.5883881910533,987.9697752795007,2797.373514310437
14,150,0,11178.812730738891,1528.7708623002459,344.48017788171063,781.2728700261474,2837.3486054306522
15,150,0,11118.443813359845,1532.1474480770212,308.41652265880515,955.0545688197913,2536.6689129289784
16,150,0,11213.56217908946,1587.2047474748272,345.8050795646748,787.4295331435387,2507.8985828467016
17,150,0,11386.301587829752,1629.4165795099545,333.9506015412906,887.4902390014133,2399.6328900702983
18,150,0,11618.437286314707,1581.9481244160859,317.2949511984098,1000.0,2382.8061150710864
19,150,0,11798.533254932174,1574.4816794196201,359.3073991936793,957.4780625546283,2345.193271909181
20,150,0,12049.847640639418,1574.6527328156444,328.35960121998284,738.6640734359262,2406.3461774316183
21,150,0,12166.139181621302,1637.124802786085,317.6628871700995,990.312509089209,2371.7644762484456
22,150,0,12203.02356415928,1644.2304426457788,326.9104234120034,969.4188727086577,2585.9625858714667
23,150,0,12142.483279073882,1662.11118832294,341.8116771878496,943.9947473884022,2278.332742020276
24,150,0,12126.55872706571,1672.9775006445864,359.1121667100998,975.5733537417284,2579.20208764344
25,150,0,12089.513452675388,1663.9730043317925,341.6251910169419,1000.0,2596.171763967941
26,150,0,12079.76744395757,1655.8930509106435,341.46210796288034,995.8861771701911,2524.766412227914
27,150,0,12162.462717476967,1676.968418051683,344.75649224367254,950.1235923338892,2844.9144939289185
28,150,0,12186.731753104383,1686.0730679538729,305.95693584174035,1000.0,2507.1944328754707
29,150,0,12414.548691409287,1706.768765900601,375.7859950380879,815.8260713551404,2467.0005137810117
30,150,0,12677.681782619456,1739.457178155763,365.83218992068043,995.511122926189,2555.08482509111
31,150,0,12939.958077487921,1678.6914237700232,368.0497850903211,948.5743949660692,2574.111141853461
32,150,0,13048.673290583702,1607.2133929384993,390.74021677670703,844.6010347181356,2766.216014184924
33,150,0,12982.033108370088,1764.0792982126586,309.6224841591237,955.3544562241912,2335.2104545405896
34,150,0,12952.101915649699,1726.259355452114,354.5825164198443,891.667004190209,2599.078977744071
35,150,0,12812.369867309386,1753.3069513092162,371.7314053917518,1000.0,2606.3471765303566
36,150,0,12665.80967690008,1813.9241728651614,351.96984952819497,1000.0,2661.3024385924373
37,150,0,12609.040975643005,1735.139589266281,359.4045906429524,981.3394646179181,2688.2300530722146
38,150,0,12549.135882441396,1765.7509176540802,345.28917097448925,887.4902390014133,2482.688156735565
39,150,0,12721.3630877968,1797.0293945487774,391.0517340116389,1019.6614758545306,2721.1843600652896
40,150,0,12924.328172126157,1806.760447107792,351.39651876847915,1022.8302574891043,2692.9119949365377
41,150,0,12921.663384828735,1788.043736007097,335.4882386138739,1034.6295082454806,2445.113451881199
42,150,0,13001.492251088574,1823.1111973032569,360.8134194123471,1065.3023770312286,2769.506361947526
