gen,nevals,restart,sigma,avg,std,min,max
0,150,5,94.55094071200807,1065.9505940976585,225.87966591957118,594.6999722328824,2267.7712038656045
1,150,5,92.85399876038267,1181.8308469674807,215.21018515700538,717.9833530123585,1929.7524769637048
2,150,5,93.47741817770194,1213.1315311818253,256.0748389008198,621.5694753935556,2217.667122077464
3,150,5,93.895604737748,1282.1524412958622,256.0192784943934,831.031608421788,2017.064610934786
4,150,5,96.74463164016602,1261.0723392767572,256.247578967279,751.5407415794317,2015.6911620903202
5,150,5,99.54425029579694,1363.7306279828706,264.16748984616555,808.7026308542572,2061.7413362849043
6,150,5,102.65106794648979,1388.7022929976233,306.80580126860474,804.4266940248111,2388.861896154212
7,150,5,106.48131575503272,1399.690410596564,307.5463573986443,737.7882618511167,2099.5071574495037
8,150,5,109.85892953684257,1489.209708325206,307.88712956139443,887.4902390014133,2368.1599548448685
9,150,5,111.97393011105802,1437.744899672232,279.1970426283503,887.4902390014133,2120.840263139396
10,150,5,113.1644752091826,1452.028890645305,278.0715369276496,860.8922311031374,2161.500643622444
11,150,5,114.36342841241033,1498.2641029114718,288.58001934574213,837.8348682000799,2142.442017707104
12,150,5,116.31286959274749,1510.5263303185206,317.03693178169385,885.083749333229,2405.650104930875
13,150,5,119.37059173120348,1545.2661515871184,297.0356809034898,887.4902390014133,2212.359905816321
14,150,5,122.61211557646527,1511.1306167555972,309.4937156867173,750.17881200781,2164.261911740506
15,150,5,127.44047999303875,1546.2754135387265,334.7034181130427,897.229916714042,2368.323485306023
16,150,5,131.96230949538025,1570.3551720262117,311.41444468790286,990.472650667701,2281.1992974739555
17,150,5,135.72243307348185,1578.3888353576829,305.9268624016032,891.1326193578645,2184.3400233494417
18,150,5,139.0752597331797,1622.9018003144874,332.657480220494,1000.0,2362.1393552970744
19,150,5,141.88889390269745,1587.7827805289219,334.82906155105354,1000.0,2347.3496490084904
20,150,5,146.6306825573941,1623.5555994092408,302.8190325550359,1000.0,2328.373367944839
21,150,5,150.70533202591182,1579.8428183842354,313.9785799411947,1000.0,2263.151676401769
22,150,5,154.04766943882345,1625.8249854299177,346.9020495026977,1000.0,2379.3195223847238
23,150,5,159.23848180771876,1607.3688038904386,306.1520497470496,1000.0,2226.1160084042012
24,150,5,161.67424988211275,1621.1230941442857,337.5841211591969,980.6547576413064,2314.4631698638445
25,150,5,161.71264022616793,1603.1180591369466,346.25039260035584,997.9122220093406,2292.7938206097974
26,150,5,162.96939946003923,1657.789316631635,343.4504725989871,932.5066841444097,2385.481002882232
27,150,5,165.51932566614056,1696.6284835274603,309.74449568142103,1000.0,2211.4127572411035
28,150,5,168.3737073158778,1701.7445127709996,363.0958446157279,1000.0,2500.4164400828618
