gen,nevals,restart,avg,std,min,max
0,300,7,1065.9380117890387,205.8462739465838,616.373411964124,2182.51248538486
1,176,7,1367.8444324870648,272.79535780579636,752.3077726033035,2182.51248538486
2,164,7,1658.6572039553998,349.30302780509163,843.2669160861386,2685.079011110182
3,162,7,2087.9602176247504,316.5099342652226,1000.0,2685.079011110182
4,183,7,2319.9434283366318,323.5587145952902,1139.0263707879662,2732.4216135429024
5,190,7,2560.362856266844,301.64374646706125,1046.1330022643174,2750.5647843132488
6,170,7,2579.135112174794,303.8689866197616,1160.4207542303654,2799.062014566202
7,164,7,2590.2084344048144,313.821932641404,1443.118646416065,2799.062014566202
8,178,7,2657.3686098023154,301.19093645922567,1542.2447014616712,2811.697586823694
9,167,7,2645.3052286723237,326.346915261468,1419.0988663068388,2811.697586823694
10,182,7,2639.4158249236248,321.1051265096116,1564.8715527994668,2811.697586823694
11,171,7,2689.4778868928292,306.8880597090192,1480.1040890185056,2811.697586823694
12,188,7,2674.2285788724253,313.7232804620445,1569.4922393732174,2811.697586823694
13,187,7,2641.94628538058,361.3843067944739,1434.730987697292,2811.697586823694
14,169,7,2654.0276893247187,344.528212156512,1403.0108536227426,2811.697586823694
15,181,7,2695.9276334796614,283.25558034421493,1535.6252390146203,2811.697586823694
16,188,7,2663.9834907476734,331.03427185656807,1460.7839720787106,2811.697586823694
17,189,7,2663.6623182632766,329.62957321496634,1403.6690192973692,2811.697586823694
18,177,7,2691.0453009039697,300.63668247456104,1538.3085613754538,2811.697586823694
19,174,7,2650.294827409116,346.29463680328536,1430.9904798194973,2811.697586823694
20,197,7,2659.635199825844,329.60619077784185,1250.7840112363583,2811.697586823694
21,185,7,2680.0779483068286,304.1990571524584,1477.4858262764783,2811.697586823694
22,183,7,2668.1047412333473,314.6113370693389,1419.7502708226843,2811.697586823694
23,154,7,2729.1156935315094,251.47468158443962,1146.5465201255788,2851.422851398365
24,180,7,2631.3035424948507,355.46028573826305,1235.032998378576,2893.609308305283
25,191,7,2655.8583164876522,342.00539735660556,1311.9753471924014,2930.87232328295
26,193,7,2691.5358571549546,387.55528117301066,1163.2516826418564,2930.87232328295
27,168,7,2779.981982719989,341.0612673582999,1162.2963324913644,2941.8966453870535
28,166,7,2727.329404658785,390.69051445847657,1091.697655248719,2941.8966453870535
29,168,7,2698.5306537139445,443.32673168325334,1184.4714051843212,2941.8966453870535
30,193,7,2694.8983743613735,417.75446623439814,1418.5658982810119,2986.1312308762326
31,167,7,2762.813220916745,404.09797088646314,1197.079646553385,2986.1312308762326
32,151,7,2765.8059326460652,394.006708880373,1423.041028286029,2986.1312308762326
33,188,7,2816.651011284173,391.889493861033,1104.6977790939666,2986.1312308762326
