gen,nevals,restart,sigma,avg,std,min,max
0,150,10,94.34803235325421,1079.9555778301708,189.9253284385532,635.989684550664,1804.81006644837
1,150,10,92.2671665276994,1178.113129057004,247.3063161899332,668.4183511848021,2150.397938584016
2,150,10,92.61724368772386,1184.5714814244063,232.02284604389524,728.8305565894349,2000.3885518493723
3,150,10,93.65869186711367,1299.4615270425636,288.7337003465898,734.9365109646799,2164.021181219541
4,150,10,95.44115638501584,1330.2359712695932,253.161357905517,884.149887326045,2173.700861926766
5,150,10,97.28996910682307,1329.812353689779,262.2792830803188,635.6465066722611,2114.7063057854443
6,150,10,99.26833906640029,1371.246217595935,286.46899913833477,750.2964665196785,2118.8424298106597
7,150,10,101.50724863003613,1347.4101610374544,300.0690166637485,734.7696342373538,2434.073954709155
8,150,10,104.09726140614457,1429.0009913823978,294.69633322361426,750.1096165735722,2211.7507930525508
9,150,10,107.70949979150966,1451.2441468188563,278.7906916684529,926.2277048786143,2156.8998110781345
10,150,10,110.08059983440072,1442.299792864188,275.4883125383168,809.0520859163172,2226.9327620012727
11,150,10,112.07811371832057,1504.036792421685,288.0359116167723,975.7430960228235,2334.6828441932043
12,150,10,114.94593082801782,1459.0619976443975,284.99509232091197,932.8763762797865,2114.982780925154
13,150,10,118.52607570912564,1465.44639520864,321.8708088299983,923.150456333753,2344.694621447087
14,150,10,121.69177626960894,1454.9827026426447,325.95835708330867,1000.0,2207.920121698398
15,150,10,122.62767783846385,1487.3557982605762,304.34317958384787,976.8112811646516,2155.52012998866
16,150,10,124.67345883192397,1546.055770589062,330.4890145207069,1000.0,2417.1419385400636
17,150,10,126.44162666356594,1533.379420935508,341.1025677604894,1000.0,2245.5775388857032
18,150,10,128.65275497413916,1567.5172425683274,320.137049835397,998.3608839950514,2260.6669188008955
19,150,10,131.3844465630084,1586.3661733598017,336.6989923863625,998.1906842604822,2357.857725589167
20,150,10,131.94016442482416,1553.0294983216845,360.3909155377412,903.0275917111402,2338.3811906845926
21,150,10,131.92537763885903,1582.1900971842942,377.3973884540966,1000.0,2355.0921687470436
22,150,10,132.72233389133473,1551.438096444232,349.7310946562532,1000.0,2349.5950331453223
23,150,10,134.2158241115799,1625.254635903645,339.3515887467494,981.7794186207232,2245.679030185339
24,150,10,134.65388546003254,1693.9811498279398,327.90190656941303,1000.0,2396.3528721544
25,150,10,135.43750226318102,1636.6185001519764,334.43959248564687,992.5962832060197,2279.2717672329914
26,150,10,138.03766972440135,1671.217352935946,332.5438290628027,998.3608839950514,2407.056183403334
27,150,10,139.73450982431578,1711.332344110588,342.6722597025967,1000.0,2382.5116055349786
28,150,10,142.20280838952223,1611.4642741616494,403.59942400979816,1000.0,2346.3826240884796
29,150,10,146.55298673862663,1698.2099665871099,370.58777048458444,1000.0,2423.206128096885
30,150,10,149.19974758447705,1729.6928570830116,376.48511623605873,1000.0,2418.438952157633
31,150,10,151.89160597153838,1696.0041781995826,373.39675769080316,1000.0,2337.954012919684
32,150,10,153.98696908215155,1716.8075766997968,339.5322216843453,1000.0,2425.7753916458
33,150,10,154.9653934218815,1712.7219220311956,368.7974092981122,1000.0,2385.295718949993
34,150,10,156.52169824832285,1720.8816811476645,358.76130887246757,1000.0,2362.134289473199
35,150,10,159.2882644511266,1745.2718100074244,392.30570622685013,1000.0,2420.057676693509
36,150,10,160.10927694632898,1748.4781373048977,404.0994673048802,956.5388336261683,2504.469929605968
37,150,10,160.26801176461203,1756.6698178548684,413.26970578744863,1000.0,2435.5959543926233
38,150,10,163.48163036949427,1751.302438322419,400.98099344904165,1000.0,2382.3318122999854
39,150,10,166.65331435664467,1806.3180758677163,401.9638449194118,1000.0,2417.0559074805683
40,150,10,170.51203213954994,1723.2416631571932,387.3795458602014,1000.0,2372.634638270164
41,150,10,174.3620922955732,1763.6457925743252,422.6485459444897,1000.0,2478.5204258144227
42,150,10,174.52709887217597,1774.705475976182,386.98178793923364,1000.0,2416.242954436846
43,150,10,174.6479943722653,1763.7024157055937,386.45073573819985,1000.0,2491.135241800322
44,150,10,175.70285464408283,1818.315386518512,354.0870706104008,1000.0,2470.9838376272114
45,150,10,177.7686440010064,1757.2730835353009,420.0608295764717,1000.0,2450.024078147623
46,150,10,178.28227851661038,1780.668516173999,414.6547771274353,1000.0,2497.7759046478327
47,150,10,179.48245876085585,1797.491759342987,403.2676239063234,1000.0,2465.8995614969685
48,150,10,179.94032948067527,1846.7177487892095,410.9550879683722,1136.9631853808269,2487.087337362646
49,150,10,178.81343939694685,1888.8500747702287,415.7666974078702,1000.0,2521.5091724327167
50,150,10,177.80271717603947,1862.3297871822795,423.71983760609396,1000.0,2426.5327992323064
51,150,10,177.57961367056572,1830.9664230058493,465.7094518179274,1000.0,2498.9994847560683
52,150,10,180.72997048162887,1757.6893031679588,457.95373389723534,1000.0,2491.7280579123144
53,150,10,182.51242005012932,1775.2304880731137,465.846481510485,1000.0,2587.937725968226
54,150,10,182.34717222541443,1878.2084125121814,437.15650079926996,1000.0,2499.614215757994
55,150,10,181.3886964841756,1822.1798185344032,439.28291260130925,1000.0,2519.3628279473232
56,150,10,181.3223042356184,1806.20165393044,460.8504861351503,1000.0,2556.9898193072504
57,150,10,181.14136044837912,1855.3090230154373,427.5325026179714,1000.0,2523.997102383443
58,150,10,179.00881114456965,1905.4428829527521,424.0836032093925,1134.1833220963163,2488.706797571954
59,150,10,179.31977275049243,1873.31972061288,460.1389813652334,1000.0,2512.028783989902
60,150,10,179.2257580405088,1881.2074434679766,428.80180701218273,1127.0715985252054,2555.4248813175154
61,150,10,179.736823523545,1788.197917366267,461.3905258123955,1000.0,2487.8412565473805
62,150,10,181.62993764547903,1925.7925769426174,440.09364224426963,1000.0,2479.883126486831
63,150,10,180.48308120252048,1906.780185969697,452.02192640923664,1000.0,2508.731096835322
64,150,10,175.64813516849608,1953.7637044053936,430.09693592321315,1000.0,2521.304113129912
65,150,10,174.56101749869083,1874.8019168156707,494.1954380703633,861.9819355981275,2511.6005354085323
66,150,10,174.75538349265992,2010.2223319150237,457.2479607804019,1000.0,2509.596214179265
67,150,10,176.67815503039304,1988.9727551736737,444.4454008006334,1000.0,2540.789747295533
68,150,10,180.52343460279022,1963.9985779344775,473.07951668895066,1133.7526989518144,2552.9497442427705
69,150,10,181.6838639490622,1981.0917632456326,460.81114375715333,1000.0,2544.222768743141
70,150,10,183.15380049404948,2022.6252948548151,424.88893050187244,1134.1833220963163,2548.969976912311
71,150,10,185.5038420800171,1969.894237124243,447.50904829592713,1000.0,2536.9493770115478
72,150,10,185.48377826881108,1906.648309866178,449.8523651595339,1144.8255920499653,2543.4809848279983
73,150,10,187.71104988491257,1994.4889598799075,439.48642820669687,1134.1833220963163,2552.4545147224467
74,150,10,188.56939828572095,1995.4842117141848,425.3206020102294,1134.1833220963163,2531.464219978608
75,150,10,190.66307667905144,2012.2824577138729,419.2423732785399,1141.6890371784818,2526.950747962695
76,150,10,192.30809302536002,2030.9379727752475,440.376599093681,1134.1833220963163,2581.3485867098766
77,150,10,192.0042499691355,1986.3342396556989,474.9230724775024,1134.1833220963163,2550.91242529117
78,150,10,190.34518754717553,2006.7465908398874,476.75822701899773,1134.1833220963163,2587.937725968226
79,150,10,188.5906441863633,2063.1593313484022,432.07461936146717,1134.1833220963163,2550.91242529117
80,150,10,187.6356441075045,1983.487323532351,449.850249158506,1000.0,2550.91242529117
81,150,10,187.39057402973376,2015.4292625351802,451.64394062125206,1137.1570469700182,2541.4512221876985
82,150,10,187.79475647336366,1942.7420702506508,485.98723647209727,1000.0,2552.9497442427705
83,150,10,188.27521131251174,2042.0598351653152,444.5792170135397,1000.0,2527.381613881757
84,150,10,190.47115333274115,2065.2089010495174,427.5645704716937,1143.8511002166229,2566.6637006418314
85,150,10,194.15128254145833,2055.902563262203,434.8824823138055,1144.8255920499653,2548.969976912311
86,150,10,196.7790643394319,2038.4137023187068,446.6645523004261,1124.4160482738641,2548.969976912311
87,150,10,201.25606345188416,2065.2770054135244,423.012166210415,1141.5929042425482,2550.91242529117
88,150,10,202.94370244374466,2033.1851112502488,428.3665229547497,1144.8255920499653,2550.91242529117
89,150,10,203.28124970683348,2065.70508686072,418.1204436653675,1134.1833220963163,2576.3130086389647
90,150,10,201.79451412743907,2018.586312005779,462.5474942732743,1124.4160482738641,2556.1638550615985
