,feature,buy strategy weight,sell strategy weight
0,volume_adi,-9252.449021699136,-44722.37237473563
1,volume_obv,-6412.282186133628,-56089.56526205634
2,volume_cmf,27541.36919245818,9333.107550129698
3,volume_fi,-6150.09594671082,4608.089527221389
4,volume_em,789.3374852784659,-1346.443681448002
5,volume_sma_em,6611.109369895989,16894.424233386224
6,volume_vpt,-36339.1254489894,38122.15927336523
7,volume_vwap,-20570.5310370068,19497.001142611964
8,volume_mfi,20335.272133730163,-71846.38710533966
9,volume_nvi,-29331.588694515125,16917.397404862742
10,volatility_bbm,-1367.5340938168647,-2163.001525898905
11,volatility_bbh,-48972.20869636586,23667.430991924117
12,volatility_bbl,-5356.828398558502,-2631.0718939431467
13,volatility_bbw,-24058.73489168041,-21989.050792271155
14,volatility_bbp,14721.207540401814,14960.450044919613
15,volatility_bbhi,-5690.722502158036,-13041.731857583121
16,volatility_bbli,10623.57672648038,-65506.24182675476
17,volatility_kcc,-14295.749683899181,5241.369759764522
18,volatility_kcw,4274.957957019188,-36604.385663757224
19,volatility_kcp,5707.003012302468,42103.49582597149
20,volatility_kchi,56497.363243904714,-5813.093983449855
21,volatility_kcli,-5603.532768324051,16334.422013832855
22,volatility_dcl,4358.12234474014,22120.19119948765
23,volatility_dch,-44870.400008108205,-3857.4277562524658
24,volatility_dcm,55.58326617861519,11327.862708313492
25,volatility_dcw,21688.14776350358,-10881.145976195281
26,volatility_dcp,7282.684492267806,2488.661121067677
27,volatility_atr,-23662.453870242956,38067.17555737002
28,volatility_ui,9153.626263682729,25861.522191029362
29,trend_macd,-17822.318604242482,6810.987133053037
30,trend_macd_signal,-12726.95682478269,-10513.875135757677
31,trend_macd_diff,-1680.215895483738,3401.233659576314
32,trend_sma_slow,-39850.606762535244,6591.028586061213
33,trend_ema_slow,8889.170707807203,-7526.866961147731
34,trend_vortex_ind_pos,-14917.498703149286,-47942.20715741729
35,trend_vortex_ind_neg,46080.955129154274,18293.282648662735
36,trend_vortex_ind_diff,-17828.17377769552,-11879.382098770746
37,trend_trix,13494.784551320186,-325.97062942827057
38,trend_mass_index,1526.1246640589707,13826.521672058034
39,trend_dpo,-12954.433112765972,28206.116665139267
40,trend_kst,-11075.414976128068,-9895.591665601567
41,trend_kst_sig,17113.362871438385,21332.80380546359
42,trend_kst_diff,33828.69399725067,22480.56635397463
43,trend_ichimoku_base,6638.434951174278,32700.472512151588
44,trend_ichimoku_a,-40323.66072935898,7883.578595362639
45,trend_ichimoku_b,-4399.280985029476,36367.39025161432
46,trend_stc,-38510.57301298965,43724.708063062564
47,trend_adx,-52157.15095997554,-47760.401917591196
48,trend_adx_pos,4535.977231873569,26596.665649326937
49,trend_adx_neg,4678.583093966299,-759.8368882563718
50,trend_cci,4655.828600780681,16030.970728811633
51,trend_visual_ichimoku_a,13321.015664240791,-33698.40798270402
52,trend_visual_ichimoku_b,-12431.2043535945,36665.23995293865
53,trend_aroon_up,34974.98601409146,-69250.48265117168
54,trend_aroon_down,50570.95841864596,-28521.99123645675
55,trend_aroon_ind,-20639.570730533876,-55281.438878678186
56,trend_psar_up_indicator,-1073.572313610457,76678.98813760509
57,trend_psar_down_indicator,63048.38495470219,-3034.562121401288
58,momentum_rsi,3817.0561737019766,2130.0434376871967
59,momentum_stoch_rsi,57075.74926550139,-22872.99294809613
60,momentum_stoch_rsi_k,10076.941235271117,3279.708014353924
61,momentum_stoch_rsi_d,-1544.5432480335453,10654.266353369228
62,momentum_tsi,-1762.988198856011,4755.0426053056335
63,momentum_uo,-19563.321697709573,43106.60187283164
64,momentum_stoch,44343.89242076963,-24946.203470688415
65,momentum_stoch_signal,-17066.043336667924,27737.170549012084
66,momentum_ao,9026.205693820866,-27408.50984837607
67,momentum_roc,-1167.5790185596252,-44679.00123057949
68,momentum_ppo,9515.121724442044,434.355985393715
69,momentum_ppo_signal,-10821.856614564085,-5367.348603223865
70,momentum_ppo_hist,3998.776085390674,2907.3960889304763
71,momentum_pvo,51394.97643111152,30398.221247182544
72,momentum_pvo_signal,-1387.4036285178438,13380.10093338329
73,momentum_pvo_hist,6474.032208850588,20348.245316120792
74,momentum_kama,-6850.6115621444405,-9930.031652457035
75,others_dr,22509.827778054903,-22506.391828905027
76,others_cr,-9088.379103894098,-13000.50653400102
