gen,nevals,restart,avg,std,min,max
0,300,6,1087.2433325797656,182.23720558934428,681.9902706000462,1734.5924400412898
1,171,6,1373.7578438002477,222.1626639922221,636.4873714202597,2051.74537561669
2,159,6,1534.1026541797787,334.5082150606493,650.7883554079066,2201.8525325713827
3,187,6,1631.7254693987668,404.98746077633916,699.5966220291627,2212.9428398290647
4,179,6,1782.5166525236082,420.2215005731013,646.0854075918529,2337.5864970839802
5,184,6,1993.495016537405,334.4774668523874,760.3089145889196,2337.5864970839802
6,178,6,2124.566958779918,242.6844124407403,1352.2758113550838,2389.6136129295346
7,179,6,2250.7391608752177,203.70447765958352,1458.6914271841672,2389.6136129295346
8,193,6,2270.6615386992767,193.29063277561914,1217.4806060844055,2418.1416200494778
9,202,6,2267.956745009842,230.0048833121901,1347.8708200060723,2458.4585996919127
10,169,6,2291.084305929598,242.77224960754552,1260.8844199801213,2470.9799739692503
11,173,6,2323.923579538122,236.74616657543623,1416.2996099686268,2502.235025263372
12,183,6,2362.906677880513,219.68697529456225,1397.6948716963636,2514.1871666189486
13,167,6,2389.579290228698,215.89089302833446,1487.404239750274,2514.1871666189486
14,190,6,2384.3396868241307,250.35209098087145,1376.2352551822726,2514.1871666189486
15,183,6,2378.6667185528568,274.42539211317865,1408.4942236685588,2514.1871666189486
16,184,6,2424.9931575405817,216.11463255856458,1427.660247763908,2514.1871666189486
17,172,6,2419.48021463816,238.77934438363957,1351.1146103347796,2514.1871666189486
18,175,6,2401.3472532053297,249.2403042614712,1444.1189827245835,2514.1871666189486
19,164,6,2424.447452686503,224.2748589185081,1469.1359123785528,2514.1871666189486
20,198,6,2378.8111277879166,265.75472485471494,1398.8551039988447,2514.1871666189486
21,193,6,2413.58274934247,231.03332182589872,1408.109121405513,2514.1871666189486
22,174,6,2395.046231366582,262.08453279642754,1427.5846032345466,2514.1871666189486
23,182,6,2411.838849364531,242.1175316818573,1358.4076633464792,2514.1871666189486
24,174,6,2392.314027714949,264.8947655182227,1423.9050795232029,2514.1871666189486
25,173,6,2394.7422958963784,260.67281083642496,1393.0190402367152,2514.1871666189486
26,159,6,2433.435367561061,207.88799622674375,1321.7720264503928,2522.844189459367
27,182,6,2442.6635626814796,195.5680923422135,1459.0365808383547,2528.8163724973465
